EventNum,Event,,,,,,,,,
0,GetS,,,,,,,,,
1,GetM,,,,,,,,,
2,Replacement,,,,,,,,,
3,PutM_fromOwner,,,,,,,,,
4,PutM_fromNonOwner,,,,,,,,,
5,Data_fromLowerInterface,,,,,,,,,
6,Data_fromUpperInterface,,,,,,,,,
7,Own_Invalidation,,,,,,,,,
,,,,,,,,,,
ActionNum,Action,,,,,,,,,
0,Stall,,,,,,,,,
1,GetData,,,,,,,,,
2,SendData,,,,,,,,,
3,SaveData,,,,,,,,,
4,SetOwner,,,,,,,,,
5,ClearOwner,,,,,,,,,
6,IssueInv,,,,,,,,,
7,WriteBack,,,,,,,,,
8,Fault,,,,,,,,,
,,,,,,,,,,
StateNum,State,,,,,,,,,
0,N,,,,,,,,,
1,NIorS_d,,,,,,,,,
2,NM_d,,,,,,,,,
3,IorS,,,,,,,,,
4,M,,,,,,,,,
5,IorS_d,,,,,,,,,
6,IorS_a,,,,,,,,,
7,N_d,,,,,,,,,
8,N_a,,,,,,,,,
,,,,,,,,,,
State,stable,isDataValid,GetS,GetM,Replacement,PutM_fromOwner,PutM_fromNonOwner,Data_fromLowerInterface,Data_fromUpperInterface,Own_Invalidation
N,1,0,GetData/NIorS_d,GetData/SetOwner/NM_d,,Fault/,Fault/,Fault/,Fault/,Fault/
NIorS_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SendData/IorS,Fault/
NM_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SendData/M,Fault/
IorS,1,1,SendData/,SendData/SetOwner/M,IssueInv/,Fault/,,Fault/,Fault/,WriteBack/N
M,1,1,ClearOwner/IorS_d,SetOwner/,IssueInv/,ClearOwner/IorS_d,,SaveData/IorS_a,Fault/,ClearOwner/N_d
IorS_d,0,1,Stall/,Stall/,Stall/,Stall/,,SaveData/IorS,Fault/,N_d
IorS_a,0,1,ClearOwner/IorS,Stall/,Stall/,ClearOwner/IorS,,Fault/,Fault/,WriteBack/N_a
N_d,0,1,Stall/,Stall/,Stall/,Fault/,,WriteBack/N,Fault/,Fault/
N_a,0,1,ClearOwner/N,Stall/,Stall/,ClearOwner/N,,Fault/,Fault/,Fault/