EventNum,Event,,,,,,,,,,
0,GetS,,,,,,,,,,
1,GetM,,,,,,,,,,
2,Replacement,,,,,,,,,,
3,PutM_fromOwner,,,,,,,,,,
4,PutM_fromNonOwner,,,,,,,,,,
5,OwnGetData,,,,,,,,,,
6,OwnPutData,,,,,,,,,,
7,Data_fromLowerInterface,,,,,,,,,,
8,Data_fromUpperInterface,,,,,,,,,,
,,,,,,,,,,,
ActionNum,Action,,,,,,,,,,
0,Stall,,,,,,,,,,
1,GetData,,,,,,,,,,
2,SendData,,,,,,,,,,
3,WriteData,,,,,,,,,,
4,SetOwner,,,,,,,,,,
5,ClearOwner,,,,,,,,,,
6,IssueInv,,,,,,,,,,
7,PutData,,,,,,,,,,
8,WriteBack,,,,,,,,,,
9,Fault,,,,,,,,,,
,,,,,,,,,,,
StateNum,State,,,,,,,,,,
0,N,,,,,,,,,,
1,NIorS_a,,,,,,,,,,
2,NM_a,,,,,,,,,,
3,NIorS_d,,,,,,,,,,
4,NM_d,,,,,,,,,,
5,IorS,,,,,,,,,,
6,M,,,,,,,,,,
7,IorS_d,,,,,,,,,,
8,IorS_a,,,,,,,,,,
9,MN_d,,,,,,,,,,
10,NN_a,,,,,,,,,,
,,,,,,,,,,,
State,stable,isDataValid,GetS,GetM,Replacement,PutM_fromOwner,PutM_fromNonOwner,OwnGetData,OwnPutData,Data_fromLowerInterface,Data_fromUpperInterface
N,1,0,GetData/NIorS_a,GetData/NM_a,,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
NIorS_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,NIorS_d,Fault/,Fault/,Fault/
NM_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,NM_d,Fault/,Fault/,Fault/
NIorS_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Fault/,SendData/IorS
NM_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Fault/,SendData/SetOwner/M
IorS,1,1,SendData/,SendData/SetOwner/M,IssueInv/PutData/NN_a,Fault/,,Fault/,Fault/,Fault/,Fault/
M,1,1,ClearOwner/IorS_d,SetOwner/,IssueInv/ClearOwner/MN_d,ClearOwner/IorS_d,,Fault/,Fault/,WriteData/IorS_a,Fault/
IorS_d,0,1,Stall/,Stall/,Stall/,Stall/,,Fault/,Fault/,WriteData/IorS,Fault/
IorS_a,0,1,ClearOwner/IorS,,Stall/,ClearOwner/IorS,,Fault/,Fault/,Fault/,Fault/
MN_d,0,1,Stall/,Stall/,Stall/,Fault/,,Fault/,Fault/,PutData/NN_a,Fault/
NN_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,WriteBack/N,Fault/,Fault/